### Module positions - created on 2022-01-06 18:32
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
F12           MX-NoLED            SW_Hotswap_Kailh_1.00u        231.7500   160.7500   224.6650   163.2900      0.0    top       SMD
F11           MX-NoLED            SW_Hotswap_Kailh_1.00u        212.7500   160.7500   205.6650   163.2900      0.0    top       SMD
F10           MX-NoLED            SW_Hotswap_Kailh_1.00u        192.7500   161.0000   185.6650   163.5400      0.0    top       SMD
F9            MX-NoLED            SW_Hotswap_Kailh_1.00u        172.5000   161.0000   165.4150   163.5400      0.0    top       SMD
F8            MX-NoLED            SW_Hotswap_Kailh_1.00u        147.5000   161.5000   140.4150   164.0400      0.0    top       SMD
F7            MX-NoLED            SW_Hotswap_Kailh_1.00u        127.7500   162.2500   120.6650   164.7900      0.0    top       SMD
F6            MX-NoLED            SW_Hotswap_Kailh_1.00u        108.0000   161.7500   100.9150   164.2900      0.0    top       SMD
F5            MX-NoLED            SW_Hotswap_Kailh_1.00u        87.2500    162.2500   80.1650    164.7900      0.0    top       SMD
F4            MX-NoLED            SW_Hotswap_Kailh_1.00u        65.0000    162.5000   57.9150    165.0400      0.0    top       SMD
F3            MX-NoLED            SW_Hotswap_Kailh_1.00u        45.5000    162.7500   38.4150    165.2900      0.0    top       SMD
F1            MX-NoLED            SW_Hotswap_Kailh_1.00u        7.4000     162.7500   0.3150     165.2900      0.0    top       SMD
esc1          MX-NoLED            SW_Hotswap_Kailh_1.00u        -15.5500   162.7000   -22.6350   165.2400      0.0    top       SMD
ENTER1        MX-NoLED            SW_Hotswap_Kailh_1.00u        246.0000   88.0000    238.9150   90.5400       0.0    top       SMD
E1            MX-NoLED            SW_Hotswap_Kailh_1.00u        65.7500    108.7500   58.6650    111.2900      0.0    top       SMD
DOWN1         MX-NoLED            SW_Hotswap_Kailh_1.00u        282.7500   29.5000    275.6650   32.0400       0.0    top       SMD
DEL1          MX-NoLED            SW_Hotswap_Kailh_1.00u        261.0000   160.5000   253.9150   163.0400      0.0    top       SMD
D84           D_Small             D_0603_1608Metric_Pad1.05x0.. 306.5000   24.0000    306.5000   23.1250      90.0    top       SMD
D83           D_Small             D_0603_1608Metric_Pad1.05x0.. 288.7500   24.3750    288.7500   23.5000      90.0    top       SMD
D82           D_Small             D_0603_1608Metric_Pad1.05x0.. 269.2500   24.1250    269.2500   23.2500      90.0    top       SMD
D81           D_Small             D_0603_1608Metric_Pad1.05x0.. 236.0000   39.0000    236.0000   38.1250      90.0    top       SMD
D80           D_Small             D_0603_1608Metric_Pad1.05x0.. 210.0000   41.0000    210.0000   40.1250      90.0    top       SMD
D79           D_Small             D_0603_1608Metric_Pad1.05x0.. 181.5000   42.1250    181.5000   41.2500      90.0    top       SMD
D78           D_Small             D_0603_1608Metric_Pad1.05x0.. 114.5000   39.0000    114.5000   38.1250      90.0    top       SMD
D77           D_Small             D_0603_1608Metric_Pad1.05x0.. 41.7500    38.8750    41.7500    38.0000      90.0    top       SMD
D76           D_Small             D_0603_1608Metric_Pad1.05x0.. 22.0000    39.2500    22.0000    38.3750      90.0    top       SMD
D75           D_Small             D_0603_1608Metric_Pad1.05x0.. -1.7500    39.0000    -1.7500    38.1250      90.0    top       SMD
D74           D_Small             D_0603_1608Metric_Pad1.05x0.. 310.0000   67.5000    310.0000   66.6250      90.0    top       SMD
D73           D_Small             D_0603_1608Metric_Pad1.05x0.. 287.0000   43.2500    287.0000   42.3750      90.0    top       SMD
D72           D_Small             D_0603_1608Metric_Pad1.05x0.. 248.5000   61.8750    248.5000   61.0000      90.0    top       SMD
D71           D_Small             D_0603_1608Metric_Pad1.05x0.. 220.2500   61.3750    220.2500   60.5000      90.0    top       SMD
D70           D_Small             D_0603_1608Metric_Pad1.05x0.. 182.0000   62.1250    182.0000   61.2500      90.0    top       SMD
D69           D_Small             D_0603_1608Metric_Pad1.05x0.. 201.5000   61.1250    201.5000   60.2500      90.0    top       SMD
D68           D_Small             D_0603_1608Metric_Pad1.05x0.. 163.5000   62.5000    163.5000   61.6250      90.0    top       SMD
D67           D_Small             D_0603_1608Metric_Pad1.05x0.. 141.7500   61.7500    141.7500   60.8750      90.0    top       SMD
D66           D_Small             D_0603_1608Metric_Pad1.05x0.. 117.3750   61.5000    116.5000   61.5000       0.0    top       SMD
D65           D_Small             D_0603_1608Metric_Pad1.05x0.. 90.7500    63.0000    90.7500    62.1250      90.0    top       SMD
D64           D_Small             D_0603_1608Metric_Pad1.05x0.. 69.7500    63.7500    69.7500    62.8750      90.0    top       SMD
D63           D_Small             D_0603_1608Metric_Pad1.05x0.. 49.3750    63.2500    48.5000    63.2500       0.0    top       SMD
D62           D_Small             D_0603_1608Metric_Pad1.05x0.. 30.7500    62.8750    30.7500    62.0000      90.0    top       SMD
D61           D_Small             D_0603_1608Metric_Pad1.05x0.. -1.0000    62.8750    -1.0000    62.0000      90.0    top       SMD
D60           D_Small             D_0603_1608Metric_Pad1.05x0.. 310.2500   87.1250    310.2500   86.2500      90.0    top       SMD
D59           D_Small             D_0603_1608Metric_Pad1.05x0.. 251.5000   80.6250    251.5000   79.7500      90.0    top       SMD
D58           D_Small             D_0603_1608Metric_Pad1.05x0.. 220.5000   81.6250    220.5000   80.7500      90.0    top       SMD
D57           D_Small             D_0603_1608Metric_Pad1.05x0.. 202.0000   82.0000    202.0000   81.1250      90.0    top       SMD
